Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
7614,178729,20-Mar-18,200318,178729
7615,232213,13-Mar-18,130318,6210
7616,60528,13-Mar-18,130318,46817
7617,WV14092774,25-Mar-18,250318,49000000
7618,30383,04-Apr-18,40418,76090
7619,30382,04-Apr-18,40418,55720
7620,30381,04-Apr-18,40418,61945
7621,48904,04-Apr-18,40418,7485
7622,48905,04-Apr-18,40418,6075
7623,A723227,31-Mar-18,310318,13530
7624,44920,31-Mar-18,310318,10901
7625,A444356,04-Apr-18,40418,149450
7626,54128,20-Mar-18,200318,2180
7627,47680,21-Mar-18,210318,4985
7628,47681,21-Mar-18,210318,4030
7629,33814,28-Mar-18,280318,252225
7630,44914,28-Mar-18,280318,33525
7631,389788,04-Apr-18,40418,4880
7632,60342,16-Feb-18,160218,175
7633,6336670,28-Feb-18,280218,57135
7634,6336671,28-Feb-18,280218,75115
7635,6336698,28-Feb-18,280218,105785
7636,A26179,28-Feb-18,280218,5655
7637,44918,31-Mar-18,310318,11631
7638,44901,20-Mar-18,200318,10256
7639,82791,04-Apr-18,40418,4985
7640,100066,04-Apr-18,40418,88270
7641,100067,04-Apr-18,40418,111294
7642,100065,04-Apr-18,40418,122186
7643,82555,04-Apr-18,40418,30080
7644,82557,04-Apr-18,40418,12600
7645,82556,04-Apr-18,40418,45085
7646,82558,04-Apr-18,40418,45805
7647,20241,04-Apr-18,40418,20241
7648,22270,04-Apr-18,40418,22270
7649,18138,04-Apr-18,40418,18138
7650,180296,04-Apr-18,40418,180296
7651,141730,04-Apr-18,40418,141730
7652,146512,04-Apr-18,40418,146512
7653,55975,04-Apr-18,40418,24085
7654,47928,04-Apr-18,40418,18270
7655,91225,04-Apr-18,40418,69105
7656,85101,04-Apr-18,40418,109875
7657,26199,28-Feb-18,280218,1670
7658,54146,28-Mar-18,280318,6030
7659,54144,28-Mar-18,280318,3560
7660,54145,28-Mar-18,280318,3220
7661,931777,25-Mar-18,250318,30430
7662,931778,25-Mar-18,250318,42845
7663,931780,25-Mar-18,250318,55885
7664,931781,25-Mar-18,250318,9905
7665,14120,04-Apr-18,40418,14120
7666,33312,20-Mar-18,200318,28521
7667,33335,20-Mar-18,200318,39194
7668,30568,20-Mar-18,200318,141025
7669,307015,27-Mar-18,270318,38245
7670,48906,04-Apr-18,40418,9185
7671,61745,04-Apr-18,40418,94070
7672,47693,04-Apr-18,40418,9585
7673,47692,04-Apr-18,40418,5960
7674,47691,04-Apr-18,40418,8225
7675,47666,04-Apr-18,40418,12255
7676,47667,04-Apr-18,40418,9225
7677,47668,04-Apr-18,40418,10890
7678,69991,28-Mar-18,280318,10755
7679,69902,28-Mar-18,280318,77460
7680,A633868,16-Feb-18,160218,235735
7681,33317,26-Mar-18,260318,30622
7682,33340,26-Mar-18,260318,38891
7683,29992210318,26-Mar-18,260318,95307
7684,30574,26-Mar-18,260318,71790
7685,47684,26-Mar-18,260318,5770
7686,54150,31-Mar-18,310318,5675
7687,54149,31-Mar-18,310318,3470
7688,242556,31-Mar-18,310318,5855
7689,307092,31-Mar-18,310318,42715
7690,307055,20-Mar-18,200318,48466
7691,B307055,20-Mar-18,200318,255
7692,IKOCIKOC7205884,20-Mar-18,200318,1328601
7693,IOC7205316,20-Mar-18,200318,1300500
7694,54470,16-Feb-18,160218,97261
7695,180428,16-Feb-18,160218,180428
7696,60113,16-Feb-18,160218,2975
7697,60080,16-Feb-18,160218,74685
7698,79969,16-Feb-18,160218,27100
7699,1970,16-Feb-18,160218,1970
7700,608911,31-Mar-18,310318,1000
7701,607741,22-Feb-18,220218,576544
7702,54136,21-Mar-18,210318,4005
7703,54134,21-Mar-18,210318,3335
7704,354584,13-Mar-18,130318,100000
7705,69137,04-Apr-18,40418,950000
7706,30380,31-Mar-18,310318,63305
7707,A307030,31-Mar-18,310318,475
7708,B307030,31-Mar-18,310318,37491
7709,69942,16-Feb-18,160218,12225
7710,242553,28-Mar-18,280318,5310
7711,242554,28-Mar-18,280318,5860
7712,242555,28-Mar-18,280318,5335
7713,307001,28-Mar-18,280318,31135
7714,A307001,28-Mar-18,280318,31550
7715,B307001,28-Mar-18,280318,37906
7716,668,28-Mar-18,280318,7321
7717,669,28-Mar-18,280318,23121
7718,33342,28-Mar-18,280318,89221
7719,33319,28-Mar-18,280318,54984
7720,33817,04-Apr-18,40418,146011
7721,44922,04-Apr-18,40418,81702
7722,44924,04-Apr-18,40418,124161
7723,44923,04-Apr-18,40418,141161
7724,44925,04-Apr-18,40418,28755
7725,69994,04-Apr-18,40418,4990
7726,69905,04-Apr-18,40418,191385
7727,A100053,26-Mar-18,260318,93123
7728,38980,26-Mar-18,260318,38980
7729,55970,26-Mar-18,260318,2220
7730,A347723,31-Mar-18,310318,29527.5
7731,232164,16-Feb-18,160218,6565
7732,326886,16-Feb-18,160218,36480
7733,232165,16-Feb-18,160218,6015
7734,448052,16-Feb-18,160218,30111
7735,A513540,16-Feb-18,160218,37435
7736,232171,22-Feb-18,220218,6385
7737,448087,22-Feb-18,220218,56010
7738,11440,28-Feb-18,280218,29680
7739,1484,16-Mar-18,160318,36236
7740,A01484,16-Mar-18,160318,750
7741,54143,26-Mar-18,260318,3125
7742,307059,26-Mar-18,260318,37860
7743,10065,31-Mar-18,310318,101873
7744,33076,31-Mar-18,310318,33076
7745,82793,05-Apr-18,50418,81820
7746,82559,05-Apr-18,50418,67490
7747,100069,05-Apr-18,50418,103340
7748,100068,05-Apr-18,50418,108799
7749,100070,05-Apr-18,50418,101275
7750,15468,05-Apr-18,50418,15468
7751,16716,05-Apr-18,50418,16716
7752,23286,05-Apr-18,50418,23286
7753,237214,05-Apr-18,50418,237214
7754,71851,05-Apr-18,50418,7712
7755,98302,05-Apr-18,50418,8980
7756,85102,05-Apr-18,50418,90940
7757,69880,07-Mar-18,70318,3235
7758,232203,01-Mar-18,10318,5435
7759,448067,01-Mar-18,10318,40370
7760,71867,25-Apr-18,250418,8840
7761,98318,25-Apr-18,250418,8035
7762,47694,05-Apr-18,50418,11965
7763,47669,05-Apr-18,50418,14060
7764,A664050,05-Apr-18,50418,481236
7765,417084,05-Apr-18,50418,334015
7766,A411250,05-Apr-18,50418,1285
7767,232191,16-Apr-18,160418,1035
7768,242572,16-Apr-18,160418,4865
7769,A201516,16-Apr-18,160418,1590
7770,B201516,16-Apr-18,160418,2750
7771,IKOC7272886,16-Apr-18,160418,272162
7772,242623,05-Mar-18,50318,28769
7773,45936,25-Apr-18,250418,6470
7774,45937,25-Apr-18,250418,6155
7775,45938,25-Apr-18,250418,11760
7776,19802,25-Apr-18,250418,2635
7777,19482,25-Apr-18,250418,33515
7778,87932,09-Mar-18,90318,33006
7779,A410050,05-Apr-18,50418,1190
7780,929099,05-Apr-18,50418,450
7781,7685,05-Apr-18,50418,565
7782,7684,05-Apr-18,50418,4455
7783,7683,05-Apr-18,50418,4560
7784,11687,05-Apr-18,50418,7590
7785,11683,05-Apr-18,50418,5945
7786,11681,05-Apr-18,50418,4945
7787,11686,05-Apr-18,50418,4125
7788,11685,05-Apr-18,50418,4970
7789,11684,05-Apr-18,50418,3915
7790,11689,05-Apr-18,50418,3420
7791,11690,05-Apr-18,50418,915
7792,11688,05-Apr-18,50418,4455
7793,11679,05-Apr-18,50418,4715
7794,11680,05-Apr-18,50418,3665
7795,11682,05-Apr-18,50418,4135
7796,26988,01-Mar-18,10318,26988
7797,186280,01-Mar-18,10318,186280
7798,60094,01-Mar-18,10318,76265
7799,A1040,01-Mar-18,10318,1040
7800,53675,01-Mar-18,10318,18374
7801,30551,01-Mar-18,10318,75125
7802,47411,01-Mar-18,10318,6095
7803,64401,23-Apr-18,230418,985
