"",,,,,,,SMH,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,
ACT-COPPY,-230361,-378178,38448,836309,231285,463603,2249038,4787150,122351,-2158665,855183,-122938,6693225
BUD PROP,4479381,8526959,2669335,8287682,6159609,10222064,29664038,11718866,3534726,3882999,4914619,3166868,97227146
ACT-BP,-596623,95859,-324197,996445,-143900,-168157,-2865469,5127415,222151,-435669,279800,-222287,1965368
BG,3534000,8939000,3219000,7851000,4681000,9132000,33155000,20531000,3679000,2746000,70000,2230000,99767000
BG(SL),3398000,8284000,3166055,7558788,4426200,8791198,32799800,19833000,3374000,2602000,70000,2230000,96533041
ACT,2395728,6204538,2243615,6608525,3406682,6947720,21854336,15625150,2681937,2161044,4290206,1523587,75943068
31 - ECOR COPPY,2378120,6605723,2251735,5305579,3374916,6793329,23085889,15533264,2843857,1997379,3383331,1644676,75197797
ACT-COPPY,17608,-401185,-8120,1302946,31766,154391,-1231552,91886,-161919,163664,906875,-121089,745271
BUD PROP,2669831,6796280,2510332,6114038,3542947,7057529,27046480,15460810,2939239,2090297,3221670,1682925,81132378
ACT-BP,-274103,-591742,-266717,494487,-136265,-109809,-5192144,164340,-257302,70747,1068536,-159338,-5189310
BG,4639000,10386000,2799000,6070000,6287000,12207000,27714000,14050000,4214000,4221363,-66363,3260000,95781000
BG(SL),4331720,9749000,2716636,5923875,5978700,11855029,27013100,13548000,4124650,4077183,-66363,3260000,92511530
ACT,3183889,7305881,1719587,5036195,4917269,9507626,21501377,14650087,3370215,3328681,3480457,2222756,80224019
32 - NCR COPPY,3193020,7420052,1994970,4252186,4554339,9027071,20951110,11395046,3391258,3562415,3300382,2326799,75368649
ACT-COPPY,-9131,-114171,-275383,784009,362930,480555,550267,3255041,-21044,-233734,180075,-104043,4855370
BUD PROP,3302856,7438261,2005039,4420245,4535381,8976048,22421297,10020764,3119432,3093195,-66363,2477373,71743528
ACT-BP,-118967,-132380,-285452,615950,381888,531578,-919920,4629323,250783,235486,3546820,-254617,8480491
BG,4930000,8044000,1604000,7145000,3431000,6322000,17786000,22828000,4161000,2803163,-354163,2170000,80870000
BG(SL),4797197,7654512,1587806,6988755,3310486,5967576,17454966,22067972,3813760,2700788,-354163,2170000,78159655
ACT,3285871,5203906,987873,4624490,2753566,5196886,13529129,24352746,3096049,1909644,3049004,1506605,69495770
33 - NWR COPPY,3301665,5390143,1013616,5002317,2379560,4356603,11921398,18632103,2882247,1800713,2475512,1540901,60696778
ACT-COPPY,-15794,-186237,-25743,-377827,374006,840283,1607731,5720644,213802,108931,573492,-34296,8798992
BUD PROP,3668000,5790600,1182400,5227300,2539900,4529200,14518301,16747800,3143701,2030300,2899600,1677700,63954802
ACT-BP,-382129,-586694,-194527,-602810,213666,667686,-989172,7604946,-47652,-120656,149404,-171095,5540968
BG,3590000,7236000,2389000,6594000,3228000,10163000,31055000,12570000,3792000,1759001,-200001,2170000,84346000
BG(SL),3432224,6839525,2333335,6454377,3009326,9832006,30528751,12142000,3335986,1664540,-200001,2170000,81542069
ACT,2415433,4875641,1385136,4713156,2417462,7972522,22197676,10102556,2604458,1239759,3615971,1453795,64993565
34 - SECR COPPY,2430139,5063275,1749215,4929528,2363336,7381979,18206066,9239457,2662650,1216237,3202938,1428044,59872864
ACT-COPPY,-14706,-187633,-364080,-216372,54126,590543,3991610,863099,-58192,23522,413033,25751,5120701
BUD PROP,2387021,4773019,1470316,4322068,2189470,6638898,20775182,8094812,2528313,1203682,3332112,1448122,59163015
ACT-BP,28412,102622,-85180,391088,227992,1333624,1422494,2007744,76145,36077,283859,5673,5830550
BG,2999000,5951000,1981000,6664000,2163000,5647000,13571000,15846000,2676000,2123500,-169500,1710000,61162000
