Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
15191,530072,07-JAN-19,070119,165
15192,14343,07-JAN-19,070119,2700
15193,13787,07-JAN-19,070119,2425
15194,468840,07-JAN-19,070119,67257
15195,467057,07-JAN-19,070119,5705
15196,436555,07-JAN-19,070119,1535
15197,436601,07-JAN-19,070119,3040
15198,75721,07-JAN-19,070119,8685
15199,00385380,07-JAN-19,070119,725
15200,00385379,07-JAN-19,070119,390
15201,00385377,07-JAN-19,070119,240
15202,384468,14-JAN-19,140119,4717
15203,807312,14-JAN-19,140119,20456
15204,455616,14-JAN-19,140119,1320
15205,479574,14-JAN-19,140119,6125
15206,3141,14-JAN-19,140119,3141
15207,338274,14-JAN-19,140119,2592
15208,6981570,14-JAN-19,140119,1255
15209,436600,14-JAN-19,140119,3630
15210,764900,14-JAN-19,140119,1725
15211,13605,14-JAN-19,140119,665
15212,9984732,11-JAN-19,110119,1040
15213,436549,11-JAN-19,110119,36890
15214,436697,11-JAN-19,110119,3875
15215,A738602,11-JAN-19,110119,77106
15216,379039,11-JAN-19,110119,37255
15217,437898,11-JAN-19,110119,182125
15218,468844,11-JAN-19,110119,56206
15219,424312,09-JAN-19,090119,285
15220,437895,09-JAN-19,090119,160955
15221,437894,09-JAN-19,090119,208775
15222,78456,09-JAN-19,090119,315
15223,00467275,07-JAN-19,070119,1105
15224,00385378,07-JAN-19,070119,335
15225,00385376,07-JAN-19,070119,250
15226,384462,07-JAN-19,070119,870
15227,09710,07-JAN-19,070119,400
15228,6879172,07-JAN-19,070119,1270
15229,690621,07-JAN-19,070119,1300
15230,690627,07-JAN-19,070119,600
15231,455610,07-JAN-19,070119,225
15232,338527,07-JAN-19,070119,180
15233,764894,07-JAN-19,070119,1185
15234,94086,07-JAN-19,070119,43430
15235,94054,07-JAN-19,070119,565
15236,27093,07-JAN-19,070119,435
15237,IKOC7915960,18-JAN-19,180119,6314608
15238,IKOC7917076,18-JAN-19,180119,1971538
15239,335775,09-JAN-19,090119,12890
15240,237217,09-JAN-19,090119,4250
15241,237508,09-JAN-19,090119,4610
15242,238369,09-JAN-19,090119,635195
