Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt,Match,Match_Num,Chalan_Dates
235,73402,29-05-2017,290517,2115,,0,
236,15408,05-06-2017,50617,28980,,0,
237,1980,03-06-2017,30617,2160,,0,
238,1930,03-06-2017,30617,7195,,0,
239,16490,03-05-2017,30517,16490,,0,
240,470,02-05-2017,20517,470,,0,
241,41633,20-06-2017,200617,8940,,0,
242,62795,14-06-2017,140617,1920,,0,
243,62797,14-06-2017,140617,2050,,0,
244,1985,09-06-2017,90617,1860,,0,
245,62792,09-06-2017,90617,1385,,0,
246,72972,14-06-2017,140617,5420,,0,
247,86530,05-05-2017,50517,4230,,0,
248,5650,05-05-2017,50517,1515,,0,
249,41674,13-06-2017,130617,3405,,0,
250,41675,13-06-2017,130617,7081,,0,
251,6400,19-06-2017,190617,6400,,0,
252,9005,15-06-2017,150617,9005,,0,
253,38519,15-06-2017,150617,38519,,0,
254,3705,15-06-2017,150617,3705,,0,
255,16636,17-05-2017,170517,16636,,0,
256,7605,17-05-2017,170517,130629,,0,
257,62793,12-06-2017,120617,1760,,0,
258,8105,28-04-2017,280417,8105,,0,
259,10384,27-06-2017,270617,185871,,0,
260,5680,15-06-2017,150617,1430,,0,
261,1760,26-04-2017,260417,1400,,0,
262,1759,26-04-2017,260417,1100,,0,
263,10260,13-06-2017,130617,8305,,0,
264,62794,13-06-2017,130617,2245,,0,
265,5644,28-04-2017,280417,1725,,0,
266,67813,19-06-2017,190617,1840,,0,
267,67809,14-06-2017,140617,6430,,0,
268,3965,08-06-2017,80617,3965,,0,
269,1975,08-06-2017,80617,4040,,0,
270,41668,08-06-2017,80617,4021,,0,
271,41669,08-06-2017,80617,7110,,0,
272,41665,06-06-2017,60617,9410,,0,
273,504349,06-06-2017,60617,7919,,0,
274,41628,14-06-2017,140617,15895,,0,
275,2000,06-06-2017,60617,2000,,0,
276,6575,20-06-2017,200617,6575,,0,
277,62798,15-06-2017,150617,2375,,0,
278,33632,17-05-2017,170517,2570,,0,
279,5330,05-05-2017,50517,5330,,0,
280,62791,08-06-2017,80617,2340,,0,
281,1770,05-05-2017,50517,1205,,0,
282,23245,21-06-2017,210617,23245,,0,
283,11230,21-06-2017,210617,11230,,0,
284,44743,23-06-2017,230617,4025,,0,
285,1895,23-06-2017,230617,4575,,0,
286,41643,23-06-2017,230617,3650,,0,
287,41644,23-06-2017,230617,6445,,0,
288,480,21-06-2017,210617,480,,0,
289,1460,21-06-2017,210617,1460,,0,
290,10383,23-06-2017,230617,227455,,0,
291,1765,29-06-2017,290617,1765,,0,
292,1410,29-06-2017,290617,1410,,0,
293,250,29-06-2017,290617,250,,0,
294,430,29-06-2017,290617,430,,0,
295,1590,29-06-2017,290617,1590,,0,
296,4675,10-07-2017,100717,4675,,0,
297,5570,07-07-2017,70717,5570,,0,
298,2000,20-05-2017,200517,2000,,0,
299,4000,20-05-2017,200517,4000,,0,
300,73332,22-06-2017,220617,66,,0,
301,1455,28-06-2017,280617,1455,,0,
302,5841,28-06-2017,280617,5841,,0,
303,1995,22-06-2017,220617,2180,,0,
304,710,22-06-2017,220617,710,,0,
305,2145,22-06-2017,220617,2145,,0,
306,62800,17-06-2017,170617,2290,,0,
307,1410,07-07-2017,70717,1410,,0,
308,100,21-06-2017,210617,100,,0,
309,6860,21-06-2017,210617,6860,,0,
310,1435,20-05-2017,200517,1435,,0,
