Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
4510,A063047,18-Jun-21,180621,36415
4511,B063047,18-Jun-21,180621,18948
4512,C063047,18-Jun-21,180621,28553
4513,D063047,18-Jun-21,180621,17765
4514,A063049,18-Jun-21,180621,711111
4515,71788,18-Jun-21,180621,26800
4516,39348,18-Jun-21,180621,740
4517,108007,18-Jun-21,180621,1405
4518,36305,18-Jun-21,180621,13520
4519,76252,18-Jun-21,180621,18300
4520,10969,18-Jun-21,180621,46185
4521,587356,18-Jun-21,180621,21010
4522,1210,18-Jun-21,180621,2915
4523,39319,18-Jun-21,180621,1325
4524,70878,23-Jul-21,230721,19355
4525,5252,23-Jul-21,230721,1285
4526,A7460,23-Jul-21,230721,1585
4527,15420,23-Jul-21,230721,56290
4528,66253,23-Jul-21,230721,53265
4529,33197,23-Jul-21,230721,712250
4530,5259,31-Jul-21,310721,400
4531,15781,31-Jul-21,310721,53510
4532,66262,31-Jul-21,310721,43070
4533,133228,31-Jul-21,310721,1195478
4534,829138,31-Jul-21,310721,1085
4535,4217,31-Jul-21,310721,1145
4536,4216,31-Jul-21,310721,2415
4537,4218,31-Jul-21,310721,1735
4538,14151,31-Jul-21,310721,640
4539,14025,31-Jul-21,310721,1575
4540,993813,31-Jul-21,310721,450
4541,310,31-Jul-21,310721,310
4542,780,31-Jul-21,310721,780
4543,430,31-Jul-21,310721,430
4544,260,31-Jul-21,310721,260
4545,483655,31-Mar-21,310321,400
4546,22676,05-Apr-21,50421,44667
4547,A973318,05-Apr-21,50421,46230
4548,5702953,05-Apr-21,50421,230430
4549,56280,05-Apr-21,50421,299251
4550,38923,05-Apr-21,50421,4493
4551,22710,05-Apr-21,50421,14695
4552,22709,05-Apr-21,50421,20895
4553,22708,05-Apr-21,50421,15040
4554,22707,05-Apr-21,50421,35886
4555,22706,05-Apr-21,50421,74052
4556,43110,05-Apr-21,50421,21015
4557,43111,05-Apr-21,50421,25980
4558,43112,05-Apr-21,50421,18145
4559,39439,29-Apr-21,290421,18840
4560,39417,29-Apr-21,290421,12940
4561,33314,29-Apr-21,290421,545
4562,5485,29-Apr-21,290421,390
4563,83984,29-Apr-21,290421,142940
4564,587749,29-Apr-21,290421,7750
4565,587831,29-Apr-21,290421,13195
4566,586725,29-Apr-21,290421,14830
4567,33192,17-Apr-21,170421,299250
4568,16640,17-Apr-21,170421,2670
4569,476140,17-Apr-21,170421,9545
4570,476141,17-Apr-21,170421,17825
4571,38878,17-Apr-21,170421,50000
4572,38876,17-Apr-21,170421,9860
4573,38877,17-Apr-21,170421,1560
4574,43123,17-Apr-21,170421,18545
4575,43124,17-Apr-21,170421,18855
4576,39410,17-Apr-21,170421,22625
4577,39434,17-Apr-21,170421,30250
4578,20715,17-Apr-21,170421,20715
4579,11280,17-Apr-21,170421,11280
4580,10911,17-Apr-21,170421,40940
4581,4860313,15-Apr-21,150421,965
4582,4999921,15-Apr-21,150421,200
4583,38610,15-Apr-21,150421,48080
4584,88003,15-Apr-21,150421,315
4585,108821,03-May-21,30521,720
4586,46023,03-May-21,30521,6470
4587,46024,03-May-21,30521,2190
4588,78506,03-May-21,30521,1635
4589,4999944,11-May-21,110521,815
4590,38639,11-May-21,110521,2130
4591,49082,11-May-21,110521,4090
4592,5531,11-May-21,110521,15550
4593,46696,11-May-21,110521,15
4594,92065,11-May-21,110521,17015
4595,90625,11-May-21,110521,35580
4596,26535,11-May-21,110521,26535
4597,47724,11-May-21,110521,47724
4598,4985,11-May-21,110521,4985
4599,3865,11-May-21,110521,3865
4600,2310,11-May-21,110521,2310
4601,2510,11-May-21,110521,2510
4602,3265,11-May-21,110521,3265
4603,955,11-May-21,110521,955
4604,1460,11-May-21,110521,1460
4605,2845,11-May-21,110521,2845
4606,2335,11-May-21,110521,2335
4607,2640,11-May-21,110521,2640
4608,2065,11-May-21,110521,2065
4609,3515,11-May-21,110521,3515
4610,476160,11-May-21,110521,7250
4611,476158,11-May-21,110521,8275
4612,476159,11-May-21,110521,9390
4613,476157,11-May-21,110521,26030
4614,49814,11-May-21,110521,60
4615,49813,11-May-21,110521,3045
4616,5000018,28-May-21,280521,17755
4617,50132,28-May-21,280521,42050
4618,5549,28-May-21,280521,32605
4619,50153,28-May-21,280521,8320
4620,16085,28-May-21,280521,48100
4621,16086,28-May-21,280521,23876
4622,16084,28-May-21,280521,74150
4623,3025,28-May-21,280521,3025
4624,67495,28-May-21,280521,67495
4625,23692,28-May-21,280521,21720
4626,4004,10-Jun-21,100621,55440
4627,5628,10-Jun-21,100621,16635
4628,42129,10-Jun-21,100621,89970
4629,71781,10-Jun-21,100621,15355
4630,39499,10-Jun-21,100621,12440
4631,39470,10-Jun-21,100621,17260
4632,15571,10-Jun-21,100621,122510
4633,10961,10-Jun-21,100621,25030
4634,10962,10-Jun-21,100621,4570
4635,586555,10-Jun-21,100621,35655
4636,36112,10-Jun-21,100621,13900
4637,95026,10-Jun-21,100621,5145
4638,39476,10-Jun-21,100621,280
4639,14768,10-Jun-21,100621,108825
4640,96253,10-Jun-21,100621,44975
4641,42575,10-Jun-21,100621,173904
4642,5631,16-Jun-21,160621,24570
4643,5632,16-Jun-21,160621,16010
4644,5633,16-Jun-21,160621,35405
4645,5634,16-Jun-21,160621,26875
4646,71785,16-Jun-21,160621,48620
4647,71786,16-Jun-21,160621,22165
4648,39346,16-Jun-21,160621,1365
4649,108005,16-Jun-21,160621,1630
4650,39474,16-Jun-21,160621,39280
4651,76303,16-Jun-21,160621,27205
4652,95917,16-Jun-21,160621,2870
4653,104169,16-Jun-21,160621,29475
4654,104167,16-Jun-21,160621,24270
4655,493164,24-Jun-21,240621,56475
4656,96272,24-Jun-21,240621,50990
4657,579080,24-Jun-21,240621,579080
4658,42681,24-Jun-21,240621,732
4659,5791,24-Jun-21,240621,760
4660,21628,24-Jun-21,240621,40170
4661,21646,24-Jun-21,240621,4665
4662,12485,24-Jun-21,240621,12485
4663,16190,24-Jun-21,240621,16190
4664,7980,24-Jun-21,240621,7980
4665,1242,23-Jun-21,230621,23935
4666,21626,23-Jun-21,230621,24580
4667,1240,23-Jun-21,230621,12495
4668,21627,23-Jun-21,230621,20220
4669,21645,23-Jun-21,230621,8890
4670,1241,23-Jun-21,230621,2345
4671,6751,23-Jun-21,230621,2355
4672,14425,23-Jun-21,230621,13635
4673,63000109,21-Jun-21,210621,63000109
4674,5000038,21-Jun-21,210621,930
